custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir
688538_1210050965_glm4_dewrap_join_chunk_0001,688538,和辉光电,1210050965,1,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7118,6538,3999,3999,19,3999,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0002,688538,和辉光电,1210050965,2,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6470,6026,3873,3873,19,3873,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0003,688538,和辉光电,1210050965,3,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6848,6388,3945,3945,19,3945,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0004,688538,和辉光电,1210050965,4,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6985,6314,3855,3855,19,3855,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0005,688538,和辉光电,1210050965,5,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6910,6371,3981,3981,19,3981,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0006,688538,和辉光电,1210050965,6,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7301,6852,3996,3996,19,3996,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0007,688538,和辉光电,1210050965,7,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7478,7149,3986,3986,19,3986,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0008,688538,和辉光电,1210050965,8,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7086,6336,3989,3989,19,3989,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0009,688538,和辉光电,1210050965,9,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6849,6363,3999,3999,19,3999,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0010,688538,和辉光电,1210050965,10,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6814,6153,3996,3996,19,3996,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0011,688538,和辉光电,1210050965,11,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7051,6535,3962,3962,19,3962,glm4_dewrap_join_full543_20260705
688538_1210050965_glm4_dewrap_join_chunk_0012,688538,和辉光电,1210050965,12,19,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688538_1210050965_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6819,6238,3982,3982,19,3982,glm4_dewrap_join_full543_20260705
